# SAMPLE conference list file
# Event | Speaker | Company | Title | Filename | Link | Slides
elce-2011|Jim Zemlin|Executive Director of The Linux Foundation|Imagine a World Without Linux|zemlin-world-without-linux|http://events.linuxfoundation.org/events/linuxcon-europe/zemlin|
elce-2011|Linus Torvalds, Alan Cox, Thomas Gleixner, Paul McKenney|moderated by Lennart Poettering|Kernel Developer Panel|torvalds-cox-gleixner-mackenney-kernel-developer-panel|http://events.linuxfoundation.org/events/linuxcon-europe/kernel-panel|
elce-2011|Zach Pfeffer|Linaro|Linaro's Android Platform|pfeffer-linaro-android-platform|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/pfeffer|
elce-2011|Thomas Gleixner|Linutronix|State of PREEMPT_RT|gleixner-state-preempt-rt|TODO|
elce-2011|Jessica Zhang|Intel|The Yocto Project Eclipse plug-in: An effective IDE environment for both Embedded Application and System developers|zhang-yocto-eclipse-plugin|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/zhang|
elce-2011|Satoru Ueda|Sony Corporation / Japan OSS Promotion Forum|Contributing to the Community? Does your Manager Support You?|ueda-contributing-manager-support|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/ueda|
elce-2011|Benjamin Zores|Alcatel-Lucent|Embedded Linux Optimization Techniques: How Not To Be Slow|zores-embedded-linux-optimization-techniques|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/zores|http://elinux.org/images/d/de/ELCE_2011_-_BZ_-_Embedded_Linux_Optimization_Techniques_-_How_Not_to_Be_Slow.pdf
elce-2011|Ohad Ben-Cohen|Texas Instruments|Remote Processor Messaging|ben-cohen-remote-processor-messaging|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/ben-cohen|http://elinux.org/images/3/32/AMP_ELCE2011.pdf
elce-2011| Jeff Osier-Mixon|Intel|Collaborative Initiatives in Embedded Linux|osier-mixon-collaborative-initiatives|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/mixon|
elce-2011|Karim Yaghmour|Opersys Inc.|Leveraging Android's Linux Heritage|yaghmour-leveraging-android-linux-heritage|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/yaghmour|
elce-2011|Pierre Tardy|Intel|Using pytimechart For Real World Analysis|tardy-pytimechart-real-world-analysis|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/pierre|http://elinux.org/images/6/63/Elce11_tardy.pdf
elce-2011|Arnd Bergmann|Linaro|Optimizations for Cheap Flash Media|bergmann-flash-based-media|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/bergmann|
elce-2011|Vitaly Wool|Sony Ericsson|Saving Power with Wi-Fi: How to Prolong Your Battery Life and Still Stay Connected|wool-saving-power-with-wifi|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/wool|http://elinux.org/images/9/97/Elce11_wool.odp
elce-2011|David Stewart|Intel|Developing Embedded Linux Devices Using the Yocto Project and What's new in 1.1|stewart-embedded-linux-development-with-yocto|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/stewart|http://elinux.org/images/9/93/Elce11_stewart.pdf
elce-2011|Tetsuyuki Kobayashi|Kyoto Micro Computer|Android is NOT Just "Java on Linux"|kobayashi-android-not-just-java-on-linux|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/kobayashi|http://elinux.org/images/6/6b/Elce11_kobayashi.pdf
elce-2011|Thomas Petazzoni|Bootlin|Using Buildroot For a Real Project|petazzoni-buildroot-for-real-project|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/petazzoni|http://elinux.org/images/2/2a/Using-buildroot-real-project.pdf
elce-2011|Tim Bird|Sony Network Entertainment|Status of Embedded Linux BoFs|bird-status-of-embedded-linux-bof|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/bird|http://elinux.org/images/7/79/Status-of-Embedded-Linux-2011-10-ELCE.pdf
elce-2011|Lauro Ramos Venancio and Samuel Ortiz|Instituto Nokia de Tecnologia, Intel|The Linux NFC Subsystem|venancio-ortiz-nfc-subsystem|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/venancio-ortiz|http://elinux.org/images/a/a9/Elce11_venancio_ortiz.pdf
elce-2011|David Anders|Texas Instruments|Board Bringup: LCD and Display Interfaces|anders-board-bringup-lcd-display|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/anders|http://elinux.org/images/d/d5/Elce-2011-anders.pdf
elce-2011|Antti Aumo|President of Global Solutions at Ixonos|Re-Defining the Cloud Phone|aumo-redefining-the-cloud-phone|http://events.linuxfoundation.org/events/linuxcon-europe/aumo|
elce-2011|Dirk Hohndel|Chief Linux and Open Source Technologist at Intel|Reflection on 20 Years of Linux|hohndel-reflection-20-years-linux|http://events.linuxfoundation.org/events/linuxcon-europe/hohndel|
elce-2011|Grant Likely|Secret Lab|Device Tree Status Report|likely-device-tree-status-report|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/likely|
elce-2011|Laurent Pinchart|Ideas on Board|Success Story of the Open-Source Camera Stack: The Nokia N9 Case|pinchart-camera-stack-nokia-n9|http://events.linuxfoundation.org/events/embedded-linux-conference-europe/pinchart|http://elinux.org/images/2/28/Elce11_pinchart.pdf
